enroll,name,gender,dob,password,batch,courses,semester
1001,Aarav Sharma,Female,03-09-2004,pwd1,B1,"['QP01', 'OS01', 'DS01', 'AP01']",6
1002, Diya Patel,Female,13-05-2001,pwd2,B1,"['DS01', 'ML01', 'DL01', 'AP01']",6
1003, Aryan Kumar,Male,11-08-2001,pwd3,B1,"['DS01', 'AP01', 'ML01', 'OS01']",6
1004, Kavya Singh,Female,08-06-1999,pwd4,B1,"['OS01', 'AM01', 'DL01', 'QP01']",6
1005, Rohan Gupta,Female,30-05-2000,pwd5,B1,"['CA01', 'DL01', 'QP01', 'BNM01']",6
1006, Ananya Rao,Female,04-10-1998,pwd6,B1,"['ML01', 'DS01', 'OS01', 'CA01']",6
1007, Vihaan Nair,Male,20-08-1999,pwd7,B1,"['AM01', 'BNM01', 'AP01', 'QP01']",6
1008, Sneha Choudhary,Female,18-06-1997,pwd8,B1,"['OS01', 'DL01', 'QP01', 'BNM01']",6
1009, Dev Iyer,Female,18-05-2004,pwd9,B1,"['ML01', 'BNM01', 'AP01', 'DL01']",6
1010, Riya Malhotra,Male,30-10-2000,pwd10,B1,"['AP01', 'QP01', 'DS01', 'ML01']",6
1011, Aditya Joshi,Female,21-01-2000,pwd11,B1,"['CA01', 'BNM01', 'DS01', 'QP01']",6
1012, Ishika Das,Female,17-03-2003,pwd12,B1,"['AP01', 'AM01', 'BNM01', 'QP01']",6
1013, Arjun Kapoor,Male,24-07-1996,pwd13,B1,"['QP01', 'DL01', 'OS01', 'AP01']",6
1014, Aanya Mehta,Female,17-06-1998,pwd14,B1,"['BNM01', 'OS01', 'DL01', 'CA01']",6
1015, Rahul Mishra,Male,28-05-2000,pwd15,B1,"['AM01', 'DS01', 'OS01', 'DL01']",6
1016, Nisha Roy,Female,13-06-2003,pwd16,B1,"['OS01', 'CA01', 'AP01', 'ML01']",6
1017, Siddharth Reddy,Female,09-12-1994,pwd17,B1,"['DS01', 'BNM01', 'AP01', 'DL01']",6
1018, Meera Saxena,Female,12-03-1998,pwd18,B1,"['DS01', 'AP01', 'BNM01', 'OS01']",6
1019, Karan Agarwal,Male,15-07-2000,pwd19,B1,"['DL01', 'ML01', 'CA01', 'OS01']",6
1020, Shreya Jain,Female,09-01-1998,pwd20,B1,"['ML01', 'BNM01', 'CA01', 'OS01']",6
1021, Tanmay Kulkarni,Male,17-01-2003,pwd21,B2,"['OS01', 'DS01', 'CA01', 'ML01']",6
1022, Avni Verma,Female,11-05-2005,pwd22,B2,"['CA01', 'DL01', 'AM01', 'OS01']",6
1023, Ishaan Desai,Female,16-09-2005,pwd23,B2,"['DL01', 'QP01', 'DS01', 'BNM01']",6
1024, Priya Bhat,Male,31-07-2003,pwd24,B2,"['CA01', 'BNM01', 'DL01', 'AP01']",6
1025, Yash Pandey,Female,26-01-1990,pwd25,B2,"['DL01', 'BNM01', 'DS01', 'QP01']",6
1026, Sanvi Sinha,Male,12-01-1992,pwd26,B2,"['QP01', 'DS01', 'DL01', 'AM01']",6
1027, Aman Singh,Female,17-03-2003,pwd27,B2,"['DL01', 'BNM01', 'QP01', 'AM01']",6
1028, Pooja Yadav,Male,13-04-2003,pwd28,B2,"['BNM01', 'DL01', 'AM01', 'DS01']",6
1029, Raghav Tripathi,Female,30-07-1994,pwd29,B2,"['AM01', 'BNM01', 'DS01', 'CA01']",6
1030, Naina Sen,Male,21-12-2005,pwd30,B2,"['BNM01', 'AM01', 'CA01', 'DS01']",6
1031, Nakul Sen,Female,29-06-2003,pwd31,B2,"['DS01', 'CA01', 'ML01', 'AP01']",6
1032, Aishwarya Bansal,Male,15-11-1996,pwd32,B2,"['ML01', 'OS01', 'AM01', 'CA01']",6
1033, Manav Das,Male,11-12-2000,pwd33,B2,"['OS01', 'ML01', 'CA01', 'AM01']",6
1034, Aditi Menon,Male,04-06-1995,pwd34,B2,"['BNM01', 'CA01', 'DL01', 'DS01']",6
1035, Rudra Goel,Male,08-11-2002,pwd35,B2,"['DS01', 'AM01', 'BNM01', 'QP01']",6
1036, Neha Pillai,Male,03-12-2000,pwd36,B2,"['DS01', 'AM01', 'DL01', 'ML01']",6
1037, Parth Srivastava,Female,24-01-1990,pwd37,B2,"['QP01', 'OS01', 'AM01', 'ML01']",6
